NBI_Gossypium_hirsutum_v1.1	Zea_mays.B73_RefGen_v4_OMA	OMA_mapping	OMA_groups
Gh_A06G0374	Zm00001d023538	n:m	NA
Gh_D05G2232	Zm00001d023538	n:m	NA
Gh_A05G3732	Zm00001d023538	n:m	NA
Gh_A10G0601	Zm00001d023543	n:m	NA
Gh_A11G0541	Zm00001d023543	n:m	NA
Gh_D04G0289	Zm00001d023543	n:m	NA
Gh_D11G0625	Zm00001d023543	n:m	NA
Gh_Sca076574G01	Zm00001d023551	1:m	NA
Gh_A01G0412	Zm00001d023554	n:m	NA
Gh_D01G0371	Zm00001d023554	n:m	NA
Gh_D05G3320	Zm00001d023554	n:m	NA
Gh_D13G1262	Zm00001d023557	1:m	NA
Gh_A02G0617	Zm00001d023558	n:m	NA
Gh_A09G1098	Zm00001d023558	n:m	NA
Gh_D02G0671	Zm00001d023558	n:m	NA
Gh_D09G1104	Zm00001d023558	n:m	NA
Gh_A12G0562	Zm00001d023559	n:m	NA
Gh_A13G0276	Zm00001d023559	n:m	NA
Gh_D12G0578	Zm00001d023559	n:m	NA
Gh_D13G0294	Zm00001d023559	n:m	NA
Gh_D13G0295	Zm00001d023559	n:m	NA
Gh_D04G0366	Zm00001d023560	1:01	NA
Gh_A05G2124	Zm00001d023564	1:m	NA
Gh_A05G2343	Zm00001d023565	1:01	NA
Gh_A02G0606	Zm00001d023566	1:m	NA
Gh_A02G0973	Zm00001d023570	n:m	NA
Gh_A04G0997	Zm00001d023570	n:m	NA
Gh_A11G2531	Zm00001d023570	n:m	NA
Gh_A11G2532	Zm00001d023570	n:m	NA
Gh_A11G2816	Zm00001d023570	n:m	NA
Gh_A11G2817	Zm00001d023570	n:m	NA
Gh_D03G0778	Zm00001d023570	n:m	NA
Gh_D09G2018	Zm00001d023570	n:m	NA
Gh_D11G2884	Zm00001d023570	n:m	NA
Gh_D13G0131	Zm00001d023570	n:m	NA
Gh_D13G2231	Zm00001d023570	n:m	NA
Gh_A09G2320	Zm00001d023570	n:m	NA
Gh_A04G0997	Zm00001d023575	n:m	NA
Gh_A11G2531	Zm00001d023575	n:m	NA
Gh_A11G2532	Zm00001d023575	n:m	NA
Gh_A11G2816	Zm00001d023575	n:m	NA
Gh_A11G2817	Zm00001d023575	n:m	NA
Gh_D03G0778	Zm00001d023575	n:m	NA
Gh_D09G2018	Zm00001d023575	n:m	NA
Gh_D11G2884	Zm00001d023575	n:m	NA
Gh_D11G3172	Zm00001d023575	n:m	NA
Gh_D13G0131	Zm00001d023575	n:m	NA
Gh_D13G2231	Zm00001d023575	n:m	NA
Gh_A09G2320	Zm00001d023575	n:m	NA
Gh_A12G0246	Zm00001d023576	n:m	NA
Gh_A13G0315	Zm00001d023576	n:m	NA
Gh_D01G0051	Zm00001d023576	n:m	NA
Gh_D04G1608	Zm00001d023576	n:m	NA
Gh_D12G0246	Zm00001d023576	n:m	NA
Gh_D13G0353	Zm00001d023576	n:m	NA
Gh_A04G1450	Zm00001d023576	n:m	NA
Gh_D06G0423	Zm00001d023578	1:m	NA
Gh_A11G0539	Zm00001d023579	n:m	NA
Gh_D11G0623	Zm00001d023579	n:m	NA
Gh_A06G0383	Zm00001d023582	1:m	NA
Gh_D05G2244	Zm00001d023582	1:m	NA
Gh_A03G1513	Zm00001d023583	1:m	NA
Gh_D04G0299	Zm00001d023585	1:m	NA
Gh_A12G1326	Zm00001d023587	1:m	NA
Gh_D12G1451	Zm00001d023587	1:m	NA
Gh_A10G1352	Zm00001d023590	1:m	NA
Gh_D02G0029	Zm00001d023590	1:m	NA
Gh_D10G1118	Zm00001d023590	1:m	NA
Gh_A02G1080	Zm00001d023592	n:m	NA
Gh_A05G2016	Zm00001d023592	n:m	NA
Gh_A05G3305	Zm00001d023592	n:m	NA
Gh_A09G0061	Zm00001d023592	n:m	NA
Gh_D01G1851	Zm00001d023592	n:m	NA
Gh_D05G2259	Zm00001d023592	n:m	NA
Gh_D09G0058	Zm00001d023592	n:m	NA
Gh_A02G1080	Zm00001d023593	n:m	NA
Gh_A05G2016	Zm00001d023593	n:m	NA
Gh_A05G3305	Zm00001d023593	n:m	NA
Gh_A09G0061	Zm00001d023593	n:m	NA
Gh_D01G1851	Zm00001d023593	n:m	NA
Gh_D05G2259	Zm00001d023593	n:m	NA
Gh_D09G0058	Zm00001d023593	n:m	NA
Gh_A05G2016	Zm00001d023596	n:m	NA
Gh_A05G3305	Zm00001d023596	n:m	NA
Gh_A09G0061	Zm00001d023596	n:m	NA
Gh_D01G1851	Zm00001d023596	n:m	NA
Gh_D05G2259	Zm00001d023596	n:m	NA
Gh_D09G0058	Zm00001d023596	n:m	NA
Gh_A01G1609	Zm00001d023603	1:01	NA
Gh_D05G2383	Zm00001d023606	n:m	NA
Gh_A09G1100	Zm00001d023608	1:m	NA
Gh_D09G1105	Zm00001d023608	1:m	NA
Gh_A09G0105	Zm00001d023612	n:m	NA
Gh_D09G0101	Zm00001d023612	n:m	NA
Gh_A04G0743	Zm00001d023617	n:m	NA
Gh_A04G0744	Zm00001d023617	n:m	NA
Gh_D04G1221	Zm00001d023617	n:m	NA
Gh_D04G1224	Zm00001d023617	n:m	NA
Gh_A13G2215	Zm00001d023617	n:m	NA
Gh_D13G2524	Zm00001d023617	n:m	NA
Gh_A03G0896	Zm00001d023620	1:m	NA
Gh_A13G0692	Zm00001d023620	1:m	NA
Gh_A13G0693	Zm00001d023620	1:m	NA
Gh_D13G0814	Zm00001d023620	1:m	NA
Gh_D13G0816	Zm00001d023620	1:m	NA
Gh_D13G0817	Zm00001d023620	1:m	NA
Gh_D10G2445	Zm00001d023625	n:m	NA
Gh_A04G0042	Zm00001d023629	n:m	NA
Gh_A13G1109	Zm00001d023629	n:m	NA
Gh_D01G0747	Zm00001d023629	n:m	NA
Gh_D05G3692	Zm00001d023629	n:m	NA
Gh_D13G1376	Zm00001d023629	n:m	NA
Gh_A11G0610	Zm00001d023635	1:m	NA
Gh_A05G0627	Zm00001d023640	n:m	NA
Gh_A07G1045	Zm00001d023640	n:m	NA
Gh_D05G0776	Zm00001d023640	n:m	NA
Gh_D07G1126	Zm00001d023640	n:m	NA
Gh_D10G2012	Zm00001d023640	n:m	NA
Gh_A01G1698	Zm00001d023648	n:m	NA
Gh_D01G1949	Zm00001d023648	n:m	NA
Gh_D09G1243	Zm00001d023648	n:m	NA
Gh_A11G0131	Zm00001d023650	n:m	NA
Gh_A12G2160	Zm00001d023650	n:m	NA
Gh_D08G1183	Zm00001d023650	n:m	NA
Gh_D11G0145	Zm00001d023650	n:m	NA
Gh_D12G2337	Zm00001d023650	n:m	NA
Gh_A08G2430	Zm00001d023650	n:m	NA
Gh_D10G1715	Zm00001d023651	1:m	NA
Gh_A12G0279	Zm00001d023652	1:m	NA
Gh_D05G2472	Zm00001d023653	1:01	NA
Gh_A02G0673	Zm00001d023655	1:m	NA
Gh_A01G0154	Zm00001d023664	1:m	NA
Gh_A03G1339	Zm00001d023664	1:m	NA
Gh_A07G2126	Zm00001d023664	1:m	NA
Gh_D02G1774	Zm00001d023664	1:m	NA
Gh_A03G1332	Zm00001d023669	n:m	NA
Gh_A03G1333	Zm00001d023669	n:m	NA
Gh_A04G0868	Zm00001d023669	n:m	NA
Gh_A03G0461	Zm00001d023673	n:m	NA
Gh_A07G0422	Zm00001d023673	n:m	NA
Gh_A07G0423	Zm00001d023673	n:m	NA
Gh_A11G0347	Zm00001d023673	n:m	NA
Gh_A12G1747	Zm00001d023673	n:m	NA
Gh_D03G1078	Zm00001d023673	n:m	NA
Gh_D07G0487	Zm00001d023673	n:m	NA
Gh_D11G0404	Zm00001d023673	n:m	NA
Gh_Sca013374G01	Zm00001d023673	n:m	NA
Gh_A03G0461	Zm00001d023677	n:m	NA
Gh_A07G0422	Zm00001d023677	n:m	NA
Gh_A07G0423	Zm00001d023677	n:m	NA
Gh_A11G0347	Zm00001d023677	n:m	NA
Gh_A12G1747	Zm00001d023677	n:m	NA
Gh_D03G1078	Zm00001d023677	n:m	NA
Gh_D07G0487	Zm00001d023677	n:m	NA
Gh_D11G0404	Zm00001d023677	n:m	NA
Gh_Sca013374G01	Zm00001d023677	n:m	NA
Gh_A03G0252	Zm00001d023682	n:m	NA
Gh_A08G1590	Zm00001d023684	n:m	NA
Gh_A08G1591	Zm00001d023684	n:m	NA
Gh_D08G1900	Zm00001d023684	n:m	NA
Gh_A05G3090	Zm00001d023689	1:m	NA
Gh_A07G2061	Zm00001d023689	1:m	NA
Gh_A11G0612	Zm00001d023689	1:m	NA
Gh_D04G0550	Zm00001d023689	1:m	NA
Gh_D07G2277	Zm00001d023689	1:m	NA
Gh_A05G3323	Zm00001d023694	1:m	NA
Gh_D04G0277	Zm00001d023694	1:m	NA
Gh_D05G2281	Zm00001d023694	1:m	NA
Gh_A09G0042	Zm00001d023695	n:m	NA
Gh_A09G0200	Zm00001d023695	n:m	NA
Gh_A10G1392	Zm00001d023695	n:m	NA
Gh_D09G0189	Zm00001d023695	n:m	NA
Gh_D10G1058	Zm00001d023695	n:m	NA
Gh_A09G0200	Zm00001d023698	n:m	NA
Gh_A10G1392	Zm00001d023698	n:m	NA
Gh_D09G0040	Zm00001d023698	n:m	NA
Gh_D09G0189	Zm00001d023698	n:m	NA
Gh_D10G1058	Zm00001d023698	n:m	NA
Gh_A03G0026	Zm00001d023699	1:m	NA
Gh_D03G1625	Zm00001d023699	1:m	NA
Gh_A02G0698	Zm00001d023706	n:m	NA
Gh_A11G0529	Zm00001d023706	n:m	NA
Gh_D02G0743	Zm00001d023706	n:m	NA
Gh_D03G1720	Zm00001d023706	n:m	NA
Gh_A02G1807	Zm00001d023706	n:m	NA
Gh_D13G1537	Zm00001d023707	1:01	NA
Gh_D02G0747	Zm00001d023710	n:m	NA
Gh_D11G2278	Zm00001d023713	n:m	NA
Gh_A11G3190	Zm00001d023713	n:m	NA
Gh_A03G1160	Zm00001d023715	1:m	NA
Gh_D10G1170	Zm00001d023718	1:01	NA
Gh_A13G0727	Zm00001d023720	n:m	NA
Gh_A13G0730	Zm00001d023720	n:m	NA
Gh_D13G0851	Zm00001d023720	n:m	NA
Gh_D13G0854	Zm00001d023720	n:m	NA
Gh_D12G1804	Zm00001d023721	1:m	NA
Gh_D10G2130	Zm00001d023729	1:m	NA
Gh_A06G0399	Zm00001d023732	1:01	NA
Gh_D12G0139	Zm00001d023733	n:m	NA
Gh_A03G0623	Zm00001d023734	n:m	NA
Gh_A07G0616	Zm00001d023734	n:m	NA
Gh_A11G0303	Zm00001d023734	n:m	NA
Gh_D03G0908	Zm00001d023734	n:m	NA
Gh_A03G0914	Zm00001d023735	n:m	NA
Gh_A13G0739	Zm00001d023735	n:m	NA
Gh_D02G1298	Zm00001d023735	n:m	NA
Gh_D03G0916	Zm00001d023735	n:m	NA
Gh_D07G0676	Zm00001d023735	n:m	NA
Gh_D13G0862	Zm00001d023735	n:m	NA
Gh_A13G0753	Zm00001d023737	1:m	NA
Gh_D05G2952	Zm00001d023737	1:m	NA
Gh_D13G0880	Zm00001d023737	1:m	NA
Gh_A08G0898	Zm00001d023738	n:m	NA
Gh_D07G1172	Zm00001d023738	n:m	NA
Gh_D08G2722	Zm00001d023738	n:m	NA
Gh_A12G1230	Zm00001d023741	1:m	NA
Gh_D02G1907	Zm00001d023741	1:m	NA
Gh_D12G1355	Zm00001d023741	1:m	NA
Gh_A01G0875	Zm00001d023749	1:m	NA
Gh_D01G0910	Zm00001d023749	1:m	NA
Gh_D01G0911	Zm00001d023749	1:m	NA
Gh_A13G1127	Zm00001d023756	1:m	NA
Gh_D01G0722	Zm00001d023756	1:m	NA
Gh_D13G1400	Zm00001d023756	1:m	NA
Gh_A07G1287	Zm00001d023758	n:m	NA
Gh_A08G1139	Zm00001d023758	n:m	NA
Gh_A11G0837	Zm00001d023758	n:m	NA
Gh_A12G0957	Zm00001d023758	n:m	NA
Gh_D07G1401	Zm00001d023758	n:m	NA
Gh_D08G1422	Zm00001d023758	n:m	NA
Gh_A12G1489	Zm00001d023760	1:m	NA
Gh_A12G1042	Zm00001d023767	1:m	NA
Gh_D12G1162	Zm00001d023767	1:m	NA
Gh_A05G1800	Zm00001d023781	1:m	NA
Gh_D05G1995	Zm00001d023781	1:m	NA
Gh_A12G1533	Zm00001d023784	n:m	NA
Gh_D12G1656	Zm00001d023784	n:m	NA
Gh_D13G0698	Zm00001d023784	n:m	NA
Gh_A12G0289	Zm00001d023791	n:m	NA
Gh_D02G2311	Zm00001d023791	n:m	NA
Gh_D12G0376	Zm00001d023791	n:m	NA
Gh_A09G1869	Zm00001d023792	1:m	NA
Gh_D10G1316	Zm00001d023792	1:m	NA
Gh_D09G2429	Zm00001d023792	1:m	NA
Gh_A06G0248	Zm00001d023795	n:m	NA
Gh_D05G2097	Zm00001d023795	n:m	NA
Gh_D05G2525	Zm00001d023795	n:m	NA
Gh_D06G0250	Zm00001d023795	n:m	NA
Gh_A13G1636	Zm00001d023796	1:m	NA
Gh_D02G1547	Zm00001d023797	n:m	NA
Gh_D03G0982	Zm00001d023799	1:m	NA
Gh_D07G0536	Zm00001d023799	1:m	NA
Gh_A05G2701	Zm00001d023801	1:m	NA
Gh_A03G0760	Zm00001d023807	1:m	NA
Gh_D02G1098	Zm00001d023807	1:m	NA
Gh_A12G1169	Zm00001d023810	1:m	NA
Gh_A09G0615	Zm00001d023813	n:m	NA
Gh_A09G2074	Zm00001d023813	n:m	NA
Gh_A10G1489	Zm00001d023813	n:m	NA
Gh_D09G0613	Zm00001d023813	n:m	NA
Gh_D09G2283	Zm00001d023813	n:m	NA
Gh_D10G1732	Zm00001d023813	n:m	NA
Gh_D12G2663	Zm00001d023817	n:m	NA
Gh_A12G2424	Zm00001d023820	n:m	NA
Gh_D08G2206	Zm00001d023824	1:m	NA
Gh_D11G2767	Zm00001d023824	1:m	NA
Gh_Sca005250G04	Zm00001d023824	1:m	NA
Gh_A11G2452	Zm00001d023825	n:m	NA
Gh_A01G1379	Zm00001d023827	n:m	NA
Gh_A02G1640	Zm00001d023827	n:m	NA
Gh_A03G1806	Zm00001d023827	n:m	NA
Gh_D01G1622	Zm00001d023827	n:m	NA
Gh_D02G2240	Zm00001d023827	n:m	NA
Gh_D08G0795	Zm00001d023830	1:m	NA
Gh_D09G2382	Zm00001d023833	1:m	NA
Gh_A09G1200	Zm00001d023836	n:m	NA
Gh_A07G1485	Zm00001d023838	n:m	NA
Gh_A07G1769	Zm00001d023838	n:m	NA
Gh_A11G1350	Zm00001d023838	n:m	NA
Gh_D07G1633	Zm00001d023838	n:m	NA
Gh_D07G1972	Zm00001d023838	n:m	NA
Gh_D10G1703	Zm00001d023839	1:m	NA
Gh_A01G0208	Zm00001d023856	1:m	NA
Gh_A02G0477	Zm00001d023856	1:m	NA
Gh_D11G2747	Zm00001d023856	1:m	NA
Gh_A09G1886	Zm00001d023858	1:01	NA
Gh_D09G1206	Zm00001d023863	n:m	NA
Gh_A02G0474	Zm00001d023865	1:m	NA
Gh_D04G0547	Zm00001d023867	n:m	NA
Gh_A09G2121	Zm00001d023868	n:m	NA
Gh_A10G1431	Zm00001d023868	n:m	NA
Gh_D09G2326	Zm00001d023868	n:m	NA
Gh_A12G0064	Zm00001d023869	1:01	NA
Gh_D08G0767	Zm00001d023870	1:01	NA
Gh_A02G0457	Zm00001d023874	n:m	NA
Gh_D02G0509	Zm00001d023874	n:m	NA
Gh_A10G2270	Zm00001d023874	n:m	NA
Gh_D11G1227	Zm00001d023877	n:m	NA
Gh_A01G0364	Zm00001d023880	n:m	NA
Gh_A13G1289	Zm00001d023880	n:m	NA
Gh_D01G0398	Zm00001d023880	n:m	NA
Gh_D10G0212	Zm00001d023885	n:m	NA
Gh_D09G0592	Zm00001d023892	n:m	NA
Gh_A08G0392	Zm00001d023895	1:m	NA
Gh_D02G0977	Zm00001d023896	1:m	NA
Gh_A05G0149	Zm00001d023897	n:m	NA
Gh_D05G0213	Zm00001d023897	n:m	NA
Gh_A09G0591	Zm00001d023899	n:m	NA
Gh_D10G1643	Zm00001d023899	n:m	NA
Gh_D10G1644	Zm00001d023899	n:m	NA
Gh_D12G0070	Zm00001d023899	n:m	NA
Gh_A10G2290	Zm00001d023899	n:m	NA
Gh_A08G0394	Zm00001d023901	1:m	NA
Gh_A08G1890	Zm00001d023901	1:m	NA
Gh_A11G2360	Zm00001d023901	1:m	NA
Gh_A13G1516	Zm00001d023901	1:m	NA
Gh_D08G0485	Zm00001d023901	1:m	NA
Gh_D08G2255	Zm00001d023901	1:m	NA
Gh_D11G2674	Zm00001d023901	1:m	NA
Gh_A12G0043	Zm00001d023904	n:1	NA
Gh_Sca005075G01	Zm00001d023910	1:m	NA
Gh_A08G0242	Zm00001d023914	n:m	NA
Gh_A08G1297	Zm00001d023914	n:m	NA
Gh_D08G0331	Zm00001d023914	n:m	NA
Gh_A08G0620	Zm00001d023915	1:m	NA
Gh_A12G0029	Zm00001d023915	1:m	NA
Gh_D12G0044	Zm00001d023915	1:m	NA
Gh_D02G1845	Zm00001d023919	n:1	NA
Gh_A09G1158	Zm00001d023922	1:m	NA
Gh_A11G2791	Zm00001d023922	1:m	NA
Gh_D03G0607	Zm00001d023922	1:m	NA
Gh_D11G3140	Zm00001d023922	1:m	NA
Gh_A02G1757	Zm00001d023922	1:m	NA
Gh_A09G1073	Zm00001d023929	1:m	NA
Gh_D09G1081	Zm00001d023929	1:m	NA
Gh_A02G0372	Zm00001d023933	1:m	NA
Gh_A06G1367	Zm00001d023936	n:m	NA
Gh_A10G0077	Zm00001d023936	n:m	NA
Gh_D06G1709	Zm00001d023936	n:m	NA
Gh_A12G0434	Zm00001d023943	n:m	NA
Gh_D01G1301	Zm00001d023943	n:m	NA
Gh_D11G2269	Zm00001d023943	n:m	NA
Gh_D12G0432	Zm00001d023943	n:m	NA
Gh_A11G3215	Zm00001d023943	n:m	NA
Gh_A05G2149	Zm00001d023944	1:m	NA
Gh_A08G2035	Zm00001d023945	1:m	NA
Gh_D08G2426	Zm00001d023945	1:m	NA
Gh_A01G1163	Zm00001d023950	n:m	NA
Gh_A05G2365	Zm00001d023950	n:m	NA
Gh_A13G0989	Zm00001d023950	n:m	NA
Gh_D01G1291	Zm00001d023950	n:m	NA
Gh_D05G2630	Zm00001d023950	n:m	NA
Gh_A10G1397	Zm00001d023957	n:m	NA
Gh_D10G0796	Zm00001d023957	n:m	NA
Gh_A08G2003	Zm00001d023964	n:m	NA
Gh_A11G1324	Zm00001d023964	n:m	NA
Gh_D08G2397	Zm00001d023964	n:m	NA
Gh_D11G1473	Zm00001d023964	n:m	NA
Gh_D07G0870	Zm00001d023969	1:m	NA
Gh_A04G1035	Zm00001d023974	1:m	NA
Gh_D04G1589	Zm00001d023974	1:m	NA
Gh_D13G0402	Zm00001d023974	1:m	NA
Gh_A01G2161	Zm00001d023987	1:01	NA
Gh_A07G1782	Zm00001d023992	1:m	NA
Gh_D07G1985	Zm00001d023992	1:m	NA
Gh_D02G2402	Zm00001d023992	1:m	NA
Gh_D07G2472	Zm00001d023992	1:m	NA
Gh_A03G2089	Zm00001d023992	1:m	NA
Gh_D11G1864	Zm00001d024002	n:1	NA
Gh_A05G2859	Zm00001d024003	n:m	NA
Gh_D02G0183	Zm00001d024003	n:m	NA
Gh_D05G3156	Zm00001d024003	n:m	NA
Gh_A03G0491	Zm00001d024009	n:m	NA
Gh_A07G0412	Zm00001d024009	n:m	NA
Gh_D07G0477	Zm00001d024009	n:m	NA
Gh_A02G0378	Zm00001d024027	n:m	NA
Gh_A02G0381	Zm00001d024027	n:m	NA
Gh_D02G0431	Zm00001d024027	n:m	NA
Gh_D07G0542	Zm00001d024036	1:m	NA
Gh_D08G2661	Zm00001d024037	n:1	NA
Gh_A08G1385	Zm00001d024041	n:m	NA
Gh_D03G1663	Zm00001d024041	n:m	NA
Gh_D08G1680	Zm00001d024041	n:m	NA
Gh_A12G1366	Zm00001d024047	n:m	NA
Gh_D02G1532	Zm00001d024047	n:m	NA
Gh_D07G0525	Zm00001d024048	1:m	NA
Gh_A07G2085	Zm00001d024049	1:m	NA
Gh_D01G1521	Zm00001d024049	1:m	NA
Gh_D07G2303	Zm00001d024049	1:m	NA
Gh_A07G0465	Zm00001d024051	n:m	NA
Gh_A09G2184	Zm00001d024051	n:m	NA
Gh_D01G1585	Zm00001d024051	n:m	NA
Gh_D07G0529	Zm00001d024051	n:m	NA
Gh_A01G2126	Zm00001d024051	n:m	NA
Gh_A06G0468	Zm00001d024059	1:m	NA
Gh_D06G0509	Zm00001d024059	1:m	NA
Gh_D07G0370	Zm00001d024059	1:m	NA
Gh_A03G1311	Zm00001d024066	n:m	NA
Gh_D04G0154	Zm00001d024068	1:m	NA
Gh_D12G0227	Zm00001d024068	1:m	NA
Gh_D12G0230	Zm00001d024068	1:m	NA
Gh_D13G0806	Zm00001d024068	1:m	NA
Gh_D11G1024	Zm00001d024075	1:m	NA
Gh_A09G0730	Zm00001d024082	n:m	NA
Gh_A10G0450	Zm00001d024082	n:m	NA
Gh_D06G1534	Zm00001d024082	n:m	NA
Gh_D10G0467	Zm00001d024082	n:m	NA
Gh_A01G1071	Zm00001d024088	n:m	NA
Gh_A13G0562	Zm00001d024093	n:m	NA
Gh_A04G1430	Zm00001d024093	n:m	NA
Gh_D08G0315	Zm00001d024094	1:01	NA
Gh_A02G0542	Zm00001d024119	1:m	NA
Gh_D05G0544	Zm00001d024126	1:m	NA
Gh_D07G0273	Zm00001d024126	1:m	NA
Gh_D06G2359	Zm00001d024128	n:m	NA
Gh_A05G0445	Zm00001d024141	n:m	NA
Gh_A05G0489	Zm00001d024141	n:m	NA
Gh_A06G0882	Zm00001d024141	n:m	NA
Gh_A06G0924	Zm00001d024141	n:m	NA
Gh_A13G1585	Zm00001d024141	n:m	NA
Gh_A13G1586	Zm00001d024141	n:m	NA
Gh_A13G1615	Zm00001d024141	n:m	NA
Gh_D05G0552	Zm00001d024141	n:m	NA
Gh_D05G0607	Zm00001d024141	n:m	NA
Gh_D06G1032	Zm00001d024141	n:m	NA
Gh_D06G1088	Zm00001d024141	n:m	NA
Gh_D13G1945	Zm00001d024141	n:m	NA
Gh_D13G1946	Zm00001d024141	n:m	NA
Gh_D05G1135	Zm00001d024148	n:m	NA
Gh_A13G0169	Zm00001d024154	n:m	NA
Gh_D13G0187	Zm00001d024154	n:m	NA
Gh_A05G1030	Zm00001d024158	1:m	NA
Gh_A01G1578	Zm00001d024160	n:m	NA
Gh_A02G0775	Zm00001d024160	n:m	NA
Gh_A06G0329	Zm00001d024160	n:m	NA
Gh_D01G1881	Zm00001d024160	n:m	NA
Gh_D02G0824	Zm00001d024160	n:m	NA
Gh_D06G0357	Zm00001d024160	n:m	NA
Gh_A08G2082	Zm00001d024166	n:m	NA
Gh_D08G0944	Zm00001d024166	n:m	NA
Gh_D08G2647	Zm00001d024166	n:m	NA
Gh_A08G2457	Zm00001d024169	1:m	NA
Gh_A01G1858	Zm00001d024171	n:m	NA
Gh_D01G2099	Zm00001d024171	n:m	NA
Gh_D04G0805	Zm00001d024171	n:m	NA
Gh_A05G3661	Zm00001d024171	n:m	NA
Gh_A01G0237	Zm00001d024175	n:m	NA
Gh_A07G1184	Zm00001d024175	n:m	NA
Gh_A08G0353	Zm00001d024175	n:m	NA
Gh_A09G2134	Zm00001d024175	n:m	NA
Gh_A12G1112	Zm00001d024175	n:m	NA
Gh_D08G0451	Zm00001d024175	n:m	NA
Gh_D12G1239	Zm00001d024175	n:m	NA
Gh_D01G2307	Zm00001d024175	n:m	NA
Gh_A08G2079	Zm00001d024187	n:m	NA
Gh_D05G0056	Zm00001d024187	n:m	NA
Gh_D08G2650	Zm00001d024187	n:m	NA
Gh_A08G2078	Zm00001d024192	n:m	NA
Gh_D13G2208	Zm00001d024192	n:m	NA
Gh_A05G3973	Zm00001d024192	n:m	NA
Gh_D08G2651	Zm00001d024192	n:m	NA
Gh_Sca004822G03	Zm00001d024192	n:m	NA
Gh_A08G0776	Zm00001d024199	1:m	NA
Gh_D04G0815	Zm00001d024199	1:m	NA
Gh_A04G0112	Zm00001d024203	n:m	NA
Gh_D01G0158	Zm00001d024205	1:m	NA
Gh_A01G0555	Zm00001d024207	n:m	NA
Gh_A01G1712	Zm00001d024207	n:m	NA
Gh_A11G2271	Zm00001d024207	n:m	NA
Gh_A11G2538	Zm00001d024207	n:m	NA
Gh_A11G2542	Zm00001d024207	n:m	NA
Gh_A11G2543	Zm00001d024207	n:m	NA
Gh_A13G1207	Zm00001d024207	n:m	NA
Gh_D05G3504	Zm00001d024207	n:m	NA
Gh_D05G3506	Zm00001d024207	n:m	NA
Gh_D05G3507	Zm00001d024207	n:m	NA
Gh_D05G3508	Zm00001d024207	n:m	NA
Gh_D11G2891	Zm00001d024207	n:m	NA
Gh_D11G2892	Zm00001d024207	n:m	NA
Gh_D11G2893	Zm00001d024207	n:m	NA
Gh_D11G2896	Zm00001d024207	n:m	NA
Gh_D11G2897	Zm00001d024207	n:m	NA
Gh_D11G2902	Zm00001d024207	n:m	NA
Gh_D11G2904	Zm00001d024207	n:m	NA
Gh_D11G2905	Zm00001d024207	n:m	NA
Gh_D11G3402	Zm00001d024207	n:m	NA
Gh_D11G3403	Zm00001d024207	n:m	NA
Gh_Sca004907G01	Zm00001d024207	n:m	NA
Gh_Sca006672G01	Zm00001d024207	n:m	NA
Gh_A04G1289	Zm00001d024207	n:m	NA
Gh_A04G1295	Zm00001d024207	n:m	NA
Gh_A04G1296	Zm00001d024207	n:m	NA
Gh_A01G0555	Zm00001d024208	n:m	NA
Gh_A01G1712	Zm00001d024208	n:m	NA
Gh_A11G2271	Zm00001d024208	n:m	NA
Gh_A11G2538	Zm00001d024208	n:m	NA
Gh_A11G2542	Zm00001d024208	n:m	NA
Gh_A11G2543	Zm00001d024208	n:m	NA
Gh_A13G1207	Zm00001d024208	n:m	NA
Gh_D05G3504	Zm00001d024208	n:m	NA
Gh_D05G3506	Zm00001d024208	n:m	NA
Gh_D05G3507	Zm00001d024208	n:m	NA
Gh_D05G3508	Zm00001d024208	n:m	NA
Gh_D11G2891	Zm00001d024208	n:m	NA
Gh_D11G2892	Zm00001d024208	n:m	NA
Gh_D11G2893	Zm00001d024208	n:m	NA
Gh_D11G2896	Zm00001d024208	n:m	NA
Gh_D11G2897	Zm00001d024208	n:m	NA
Gh_D11G2902	Zm00001d024208	n:m	NA
Gh_D11G2904	Zm00001d024208	n:m	NA
Gh_D11G2905	Zm00001d024208	n:m	NA
Gh_D13G1503	Zm00001d024208	n:m	NA
Gh_D11G3402	Zm00001d024208	n:m	NA
Gh_D11G3403	Zm00001d024208	n:m	NA
Gh_Sca004907G01	Zm00001d024208	n:m	NA
Gh_Sca006672G01	Zm00001d024208	n:m	NA
Gh_A04G1289	Zm00001d024208	n:m	NA
Gh_A04G1295	Zm00001d024208	n:m	NA
Gh_A04G1296	Zm00001d024208	n:m	NA
Gh_A01G0555	Zm00001d024210	n:m	NA
Gh_A01G1712	Zm00001d024210	n:m	NA
Gh_A11G2271	Zm00001d024210	n:m	NA
Gh_A11G2538	Zm00001d024210	n:m	NA
Gh_A11G2542	Zm00001d024210	n:m	NA
Gh_A11G2543	Zm00001d024210	n:m	NA
Gh_A13G1207	Zm00001d024210	n:m	NA
Gh_D05G3504	Zm00001d024210	n:m	NA
Gh_D05G3506	Zm00001d024210	n:m	NA
Gh_D05G3507	Zm00001d024210	n:m	NA
Gh_D05G3508	Zm00001d024210	n:m	NA
Gh_D11G2891	Zm00001d024210	n:m	NA
Gh_D11G2892	Zm00001d024210	n:m	NA
Gh_D11G2893	Zm00001d024210	n:m	NA
Gh_D11G2896	Zm00001d024210	n:m	NA
Gh_D11G2897	Zm00001d024210	n:m	NA
